"","subhood","id","change"
"1","Alcova Heights",241,5.40417666421445
"2","Arlington - East Falls Church",224,29.9963132661805
"3","Arlington Forest",239,-1.82632874445039
"4","Arlington Heights",240,16.4269955104322
"5","Arlington Mill",275,16.078761231044
"6","Arlington Ridge",252,27.8157906811024
"7","Arlington View",247,47.5650075293431
"8","Ashton Heights",234,36.550326957833
"9","Aurora Highlands",253,27.9793106768168
"10","Ballston - Virginia Square",228,20.2061991000448
"11","Barcroft",242,18.7051351366539
"12","Bellevue Forest",219,-8.20172378568622
"13","Bluemont",232,23.7424465280265
"14","Boulevard Manor",238,39.993071331846
"15","Buckingham",250,50.0761745162378
"16","Chainbridge Forest",257,131.63967611336
"17","Cherrydale",274,23.2394258040507
"18","Clarendon - Courthouse",229,24.7490506228047
"19","Clarmont",272,10.3723252859187
"20","Colonial Village",263,68.5011688421182
"21","Columbia Forest",267,14.8074449499511
"22","Columbia Heights",248,7.98246433735915
"23","Dominion Hills",236,-16.1938309559099
"24","Donaldson Run",245,20.4857191440691
"25","Douglas Park",249,18.5437748649141
"26","Dover-Crystal",262,37.0374068628803
"27","Fairlington",271,5.58343753278764
"28","Forest Glen",266,34.4532289953237
"29","Foxcroft Heights",265,-20.8978873239437
"30","Glebewood",260,69.9681145043577
"31","Glencarlyn",243,21.9363667134509
"32","Gulf Branch",258,-22.8472790159439
"33","High View Park",246,51.9137896768222
"34","Highland Park - Overlee Knolls",230,20.0626542423775
"35","Leeway",225,23.9086395409717
"36","Long Branch Creek",276,24.6072379835923
"37","Lyon Park",233,26.5321295499088
"38","Lyon Village",226,32.7784630062208
"39","Madison Manor",235,54.8185333552228
"40","Maywood",223,22.7136841428526
"41","Nauck",270,21.9261736555076
"42","North Highland",222,32.163490963705
"43","North Rosslyn",264,29.2047840336945
"44","Old Dominion",244,33.5875118132256
"45","Old Glebe",218,-5.10975884082253
"46","Parkway-Woodmont",221,23.462864122049
"47","Penrose",237,21.0954694626171
"48","Radnor/Fort Myer Heights",254,15.5107001386523
"49","Rivercrest",259,13.1179980975963
"50","Riverwood",261,-33.1034482758621
"51","Rock Spring",255,-2.41857559437421
"52","Shirlington",273,4.21877254219612
"53","Stafford-Albemarle-Glebe",256,15.7001417190204
"54","Tara - Leeway Heights",227,23.4106304378122
"55","Waverly Hills",269,37.7311432992202
"56","Waycroft - Woodlawn",268,16.3812523813741
"57","Westover Village",231,13.6773575895112
"58","Williamsburg",220,9.1436852785417
"59","Yorktown",251,2.14590943227848
"60",NA,NA,20.9940823106322
